Event,Date,Temperature,Humidity,Pressure,Wind Speed
Diwali,02/11/2023,77 °F,65 %,29.11 in,3 mph
Holi,12/03/2023,82 °F,35 %,29.11 in,3 mph
Navratri,21/09/2023,86 °F,70 %,28.88 in,5 mph
Durga Puja,21/09/2023,86 °F,70 %,28.88 in,5 mph
Eid al-Fitr,10/04/2023,88 °F,17 %,29.05 in,3 mph
Ganesh Chaturthi,31/08/2023,91 °F,66 %,28.82 in,3 mph
Janmashtami,15/08/2023,90 °F,70 %,28.82 in,3 mph
Makar Sankranti,14/01/2023,52 °F,63 %,29.17 in,9 mph
Raksha Bandhan,07/08/2023,90 °F,62 %,28.62 in,7 mph
Christmas,25/12/2023,61 °F,77 %,29.25 in,3 mph
Kumbh Mela,14/01/2023,52 °F,63 %,29.17 in,9 mph
Pongal,14/01/2023,52 °F,63 %,29.17 in,9 mph
Onam,26/08/2023,90 °F,55 %,28.74 in,7 mph
Bihu,14/04/2023,95 °F,11 %,28.91 in,2 mph
Dussehra,29/09/2023,86 °F,55 %,28.91 in,5 mph
Maha Shivaratri,21/02/2023,77 °F,65 %,29.02 in,6 mph
Eid al-Adha,31/07/2023,91 °F,63 %,28.65 in,7 mph
Baisakhi,13/04/2023,91 °F,16 %,28.97 in,0 mph
Lohri,13/01/2023,54 °F,74 %,29.08 in,5 mph
Eid-e-Milad,19/03/2023,70 °F,68 %,28.94 in,5 mph
Guru Nanak Jayanti,07/11/2023,75 °F,57 %,29.11 in,0 mph
Mahavir Jayanti,10/04/2023,88 °F,17 %,29.05 in,3 mph
Republic Day,26/01/2023,57 °F,88 %,29.17 in,6 mph
Independence Day,15/08/2023,90 °F,70 %,28.82 in,3 mph
Gandhi Jayanti,02/10/2023,86 °F,31 %,28.94 in,5 mph
